- O
docstart O
- O
!LF! !LF!
eu I-ORG
rejects O
german I-MISC
call O
to O
boycott O
british I-MISC
lamb O
. O
!LF! !LF!
the O
european I-ORG
commission I-ORG
said O
on O
thursday O
it O
disagreed O
with O
german I-MISC
advice O
to O
consumers O
to O
shun O
british I-MISC
lamb O
until O
scientists O
determine O
whether O
mad O
cow O
disease O
can O
be O
transmitted O
to O
sheep O
. O
!LF! !LF!
germany I-LOC
' O
s O
representative O
to O
the O
european I-ORG
union I-ORG
' O
s O
veterinary O
committee O
werner I-PER
zwingmann I-PER
said O
on O
wednesday O
consumers O
should O
buy O
sheepmeat O
from O
countries O
other O
than O
britain I-LOC
until O
the O
scientific O
advice O
was O
clearer O
. O
!LF! !LF!
"""" O
we O
do O
n O
' O
t O
support O
any O
such O
recommendation O
because O
we O
do O
n O
' O
t O
see O
any O
grounds O
for O
it O
, O
"""" O
the O
commission I-ORG
' O
s O
chief O
spokesman O
nikolaus I-PER
van I-PER
der I-PER
pas I-PER
told O
a O
news O
briefing O
. O
!LF! !LF!
he O
said O
a O
proposal O
last O
month O
by O
eu I-ORG
farm O
commissioner O
franz I-PER
fischler I-PER
to O
ban O
sheep O
brains O
, O
spleens O
and O
spinal O
cords O
from O
the O
human O
and O
animal O
food O
chains O
was O
a O
highly O
specific O
and O
precautionary O
move O
to O
protect O
human O
health O
. O
!LF! !LF!
fischler I-PER
proposed O
eu I-MISC
- I-MISC
wide I-MISC
measures O
after O
reports O
from O
britain I-LOC
and O
france I-LOC
that O
under O
laboratory O
conditions O
sheep O
could O
contract O
bovine I-MISC
spongiform I-MISC
encephalopathy I-MISC
( O
bse I-MISC
) O
- O
- O
mad O
cow O
disease O
. O
!LF! !LF!
but O
fischler I-PER
agreed O
to O
review O
his O
proposal O
after O
the O
eu I-ORG
' O
s O
standing O
veterinary O
committee O
, O
mational O
animal O
health O
officials O
, O
questioned O
if O
such O
action O
was O
justified O
as O
there O
was O
only O
a O
slight O
risk O
to O
human O
health O
. O
!LF! !LF!
spanish I-MISC
farm O
minister O
loyola I-PER
de I-PER
palacio I-PER
had O
earlier O
accused O
fischler I-PER
at O
an O
eu I-ORG
farm O
ministers O
' O
meeting O
of O
causing O
unjustified O
alarm O
through O
"""" O
dangerous O
generalisation O
. O
"""" O
!LF! !LF!
. O
!LF! !LF!
only O
france I-LOC
and O
britain I-LOC
backed O
fischler I-PER
' O
s O
proposal O
. O
!LF! !LF!
sheep O
have O
long O
been O
known O
to O
contract O
scrapie O
, O
a O
brain O
- O
wasting O
disease O
similar O
to O
bse I-MISC
which O
is O
believed O
to O
have O
been O
transferred O
to O
cattle O
through O
feed O
containing O
animal O
waste O
. O
!LF! !LF!
british I-MISC
farmers O
denied O
on O
thursday O
there O
was O
any O
danger O
to O
human O
health O
from O
their O
sheep O
, O
but O
expressed O
concern O
that O
german I-MISC
government O
advice O
to O
consumers O
to O
avoid O
british I-MISC
lamb O
might O
influence O
consumers O
across O
europe I-LOC
. O
!LF! !LF!
"""" O
what O
we O
have O
to O
be O
extremely O
careful O
of O
is O
how O
other O
countries O
are O
going O
to O
take O
germany I-LOC
' O
s O
lead O
, O
"""" O
welsh I-ORG
national I-ORG
farmers I-ORG
' I-ORG
union I-ORG
( O
nfu I-ORG
) O
chairman O
john I-PER
lloyd I-PER
jones I-PER
said O
on O
bbc I-ORG
radio I-ORG
. O
!LF! !LF!
bonn I-LOC
has O
led O
efforts O
to O
protect O
public O
health O
after O
consumer O
confidence O
collapsed O
in O
march O
after O
a O
british I-MISC
report O
suggested O
humans O
could O
contract O
an O
illness O
similar O
to O
mad O
cow O
disease O
by O
eating O
contaminated O
beef O
. O
!LF! !LF!
it O
brought O
in O
4 O
, O
275 O
tonnes O
of O
british I-MISC
mutton O
, O
some O
10 O
percent O
of O
overall O
imports O
. O
!LF! !LF!
- O
docstart O
- O
!LF! !LF!
a O
rare O
early O
handwritten O
draft O
of O
a O
song O
by O
u I-LOC
. I-LOC
s I-LOC
. I-LOC
guitar O
legend O
jimi I-PER
hendrix I-PER
was O
sold O
for O
almost O
$ O
17 O
, O
000 O
on O
thursday O
at O
an O
auction O
of O
some O
of O
the O
late O
musician O
' O
s O
favourite O
possessions O
. O
!LF! !LF!
a O
florida I-LOC
restaurant O
paid O
10 O
, O
925 O
pounds O
( O
$ O
16 O
, O
935 O
) O
for O
the O
draft O
of O
"""" O
ai I-MISC
n I-MISC
' I-MISC
t I-MISC
no I-MISC
telling I-MISC
"""" O
, O
which O
hendrix I-PER
penned O
on O
a O
piece O
of O
london I-LOC
hotel O
stationery O
in O
late O
1966 O
. O
!LF! !LF!
at O
the O
end O
of O
a O
january O
1967 O
concert O
in O
the O
english I-MISC
city O
of O
nottingham I-LOC
he O
threw O
the O
sheet O
of O
paper O
into O
the O
audience O
, O
where O
it O
was O
retrieved O
by O
a O
fan O
. O
!LF! !LF!
they O
included O
a O
black O
lacquer O
and O
mother O
of O
pearl O
inlaid O
box O
used O
by O
hendrix I-PER
to O
store O
his O
drugs O
, O
which O
an O
anonymous O
australian I-MISC
purchaser O
bought O
for O
5 O
, O
060 O
pounds O
( O
$ O
7 O
, O
845 O
) O
. O
!LF! !LF!
the O
guitarist O
died O
of O
a O
drugs O
overdose O
in O
1970 O
aged O
27 O
. O
!LF! !LF!
- O
docstart O
- O
!LF! !LF!
china I-LOC
on O
thursday O
accused O
taipei I-LOC
of O
spoiling O
the O
atmosphere O
for O
a O
resumption O
of O
talks O
across O
the O
taiwan I-LOC
strait I-LOC
with O
a O
visit O
to O
ukraine I-LOC
by O
taiwanese I-MISC
vice O
president O
lien I-PER
chan I-PER
this O
week O
that O
infuriated O
beijing I-LOC
. O
!LF! !LF!
speaking O
only O
hours O
after O
chinese I-MISC
state O
media O
said O
the O
time O
was O
right O
to O
engage O
in O
political O
talks O
with O
taiwan I-LOC
, O
foreign I-ORG
ministry I-ORG
spokesman O
shen I-PER
guofang I-PER
told O
reuters I-ORG
: O
"""" O
the O
necessary O
atmosphere O
for O
the O
opening O
of O
the O
talks O
has O
been O
disrupted O
by O
the O
taiwan I-LOC
authorities O
. O
"""" O
!LF! !LF!
state O
media O
quoted O
china I-LOC
' O
s O
top O
negotiator O
with O
taipei I-LOC
, O
tang I-PER
shubei I-PER
, O
as O
telling O
a O
visiting O
group O
from O
taiwan I-LOC
on O
wednesday O
that O
it O
was O
time O
for O
the O
rivals O
to O
hold O
political O
talks O
. O
!LF! !LF!
"""" O
now O
is O
the O
time O
for O
the O
two O
sides O
to O
engage O
in O
political O
talks O
. O
. O
. O
!LF! !LF!
that O
is O
to O
end O
the O
state O
of O
hostility O
, O
"""" O
thursday O
' O
s O
overseas O
edition O
of O
the O
people I-ORG
' I-ORG
s I-ORG
daily I-ORG
quoted O
tang I-PER
as O
saying O
. O
!LF! !LF!
the O
foreign O
ministry O
' O
s O
shen I-ORG
told O
reuters I-ORG
television I-ORG
in O
an O
interview O
he O
had O
read O
reports O
of O
tang I-PER
' O
s O
comments O
but O
gave O
no O
details O
of O
why O
the O
negotiator O
had O
considered O
the O
time O
right O
for O
talks O
with O
taiwan I-LOC
, O
which O
beijing I-LOC
considers O
a O
renegade O
province O
. O
!LF! !LF!
china I-LOC
, O
which O
has O
long O
opposed O
all O
taipei I-LOC
efforts O
to O
gain O
greater O
international O
recognition O
, O
was O
infuriated O
by O
a O
visit O
to O
ukraine I-LOC
this O
week O
by O
taiwanese I-MISC
vice O
president O
lien I-PER
. O
!LF! !LF!
- O
docstart O
- O
!LF! !LF!
consultations O
should O
be O
held O
to O
set O
the O
time O
and O
format O
of O
the O
talks O
, O
the O
official O
xinhua I-ORG
news O
agency O
quoted O
tang I-PER
shubei I-PER
, O
executive O
vice O
chairman O
of O
the O
association I-ORG
for I-ORG
relations I-ORG
across I-ORG
the I-ORG
taiwan I-ORG
straits I-ORG
, O
as O
saying O
late O
on O
wednesday O
. O
!LF! !LF!
- O
docstart O
- O
!LF! !LF!
german I-MISC
july O
car O
registrations O
up O
14 O
. O
2 O
pct O
yr O
/ O
yr O
. O
!LF! !LF!
german I-MISC
first O
- O
time O
registrations O
of O
motor O
vehicles O
jumped O
14 O
. O
2 O
percent O
in O
july O
this O
year O
from O
the O
year O
- O
earlier O
period O
, O
the O
federal I-ORG
office I-ORG
for I-ORG
motor I-ORG
vehicles I-ORG
said O
on O
thursday O
. O
!LF! !LF!
the O
office O
said O
356 O
, O
725 O
new O
cars O
were O
registered O
in O
july O
1996 O
- O
- O
304 O
, O
850 O
passenger O
cars O
and O
15 O
, O
613 O
trucks O
. O
!LF! !LF!
the O
figures O
represent O
a O
13 O
. O
6 O
percent O
increase O
for O
passenger O
cars O
and O
a O
2 O
. O
2 O
percent O
decline O
for O
trucks O
from O
july O
1995 O
. O
!LF! !LF!
motor O
- O
bike O
registration O
rose O
32 O
. O
7 O
percent O
in O
