Facial B-Claim
hirsutism I-Claim
is I-Claim
one I-Claim
of I-Claim
the I-Claim
characteristic I-Claim
features I-Claim
of I-Claim
polycystic I-Claim
ovary I-Claim
syndrome I-Claim
( I-Claim
PCOS I-Claim
) I-Claim
, I-Claim
and I-Claim
this I-Claim
can I-Claim
lead I-Claim
to I-Claim
high I-Claim
levels I-Claim
of I-Claim
depression I-Claim
and I-Claim
anxiety I-Claim
. I-Claim

To O
evaluate O
the O
impact O
of O
laser O
treatment O
on O
the O
severity O
of O
facial O
hirsutism O
and O
on O
psychological O
morbidity O
in O
women O
with O
PCOS O
. O

A O
randomized O
controlled O
trial O
of O
five O
high O
- O
fluence O
treatments O
( O
intervention O
) O
vs O
. O
five O
low O
- O
fluence O
treatments O
( O
control O
) O
was O
performed O
over O
6 O
months O
in O
a O
National O
Health O
Service O
teaching O
hospital O
. O

Subjects O
were O
88 O
women O
with O
facial O
hirsutism O
due O
to O
PCOS O
recruited O
from O
hospital O
outpatient O
clinics O
and O
a O
patient O
support O
group O
in O
2001 O
- O
2002 O
. O

The O
main O
outcomes O
were O
self O
- O
reported O
severity O
of O
facial O
hair O
( O
measured O
on O
a O
scale O
of O
1 O
- O
10 O
) O
, O
depression O
, O
anxiety O
( O
measured O
on O
the O
Hospital O
Anxiety O
and O
Depression O
Scale O
) O
and O
quality O
of O
life O
( O
measured O
on O
the O
WHOQOL O
- O
BREF O
) O
. O

Self B-Premise
- B-Premise
reported B-Premise
severity I-Premise
of I-Premise
facial I-Premise
hair I-Premise
in I-Premise
the I-Premise
intervention I-Premise
group I-Premise
( I-Premise
n I-Premise
= I-Premise
51 I-Premise
) I-Premise
fell I-Premise
from I-Premise
7 I-Premise
. I-Premise
3 I-Premise
to I-Premise
3 I-Premise
. I-Premise
6 I-Premise
over I-Premise
the I-Premise
6 I-Premise
- I-Premise
month I-Premise
study I-Premise
period I-Premise
"""" I-Premise
; I-Premise
"""" I-Premise
for I-Premise
the I-Premise
control I-Premise
group I-Premise
( I-Premise
n I-Premise
= I-Premise
37 I-Premise
) I-Premise
the I-Premise
corresponding I-Premise
scores I-Premise
were I-Premise
7 I-Premise
. I-Premise
1 I-Premise
and I-Premise
6 I-Premise
. I-Premise
1 I-Premise
. I-Premise

The B-Premise
change I-Premise
was I-Premise
significantly I-Premise
greater I-Premise
in I-Premise
the I-Premise
intervention I-Premise
group I-Premise
[ I-Premise
ancova I-Premise
F I-Premise
( I-Premise
( I-Premise
1 I-Premise
, I-Premise
83 I-Premise
) I-Premise
) I-Premise
= I-Premise
24 I-Premise
. I-Premise
5 I-Premise
, I-Premise
P I-Premise
< I-Premise
0 I-Premise
. I-Premise
05 I-Premise
] I-Premise
. I-Premise

Self B-Premise
- B-Premise
reported B-Premise
time I-Premise
spent I-Premise
on I-Premise
hair I-Premise
removal I-Premise
declined I-Premise
from I-Premise
112 I-Premise
to I-Premise
21 I-Premise
min I-Premise
per I-Premise
week I-Premise
in I-Premise
the I-Premise
intervention I-Premise
group I-Premise
and I-Premise
from I-Premise
92 I-Premise
to I-Premise
56 I-Premise
min I-Premise
in I-Premise
the I-Premise
control I-Premise
group I-Premise
[ I-Premise
F I-Premise
( I-Premise
( I-Premise
1 I-Premise
, I-Premise
80 I-Premise
) I-Premise
) I-Premise
= I-Premise
10 I-Premise
. I-Premise
2 I-Premise
, I-Premise
P I-Premise
< I-Premise
/ I-Premise
= I-Premise
0 I-Premise
. I-Premise
05 I-Premise
] I-Premise
. I-Premise

Mean B-Premise
depression I-Premise
scores I-Premise
fell I-Premise
from I-Premise
6 I-Premise
. I-Premise
7 I-Premise
to I-Premise
3 I-Premise
. I-Premise
6 I-Premise
in I-Premise
the I-Premise
intervention I-Premise
group I-Premise
, I-Premise
compared I-Premise
with I-Premise
6 I-Premise
. I-Premise
1 I-Premise
to I-Premise
5 I-Premise
. I-Premise
4 I-Premise
in I-Premise
the I-Premise
control I-Premise
group I-Premise
[ I-Premise
F I-Premise
( I-Premise
( I-Premise
1 I-Premise
, I-Premise
83 I-Premise
) I-Premise
) I-Premise
= I-Premise
14 I-Premise
. I-Premise
7 I-Premise
, I-Premise
P I-Premise
< I-Premise
0 I-Premise
. I-Premise
05 I-Premise
] I-Premise
. I-Premise

A B-Premise
similar I-Premise
change I-Premise
was I-Premise
seen I-Premise
for I-Premise
mean I-Premise
anxiety I-Premise
scores I-Premise
: I-Premise
intervention I-Premise
11 I-Premise
. I-Premise
1 I-Premise
to I-Premise
8 I-Premise
. I-Premise
2 I-Premise
, I-Premise
control I-Premise
9 I-Premise
. I-Premise
6 I-Premise
to I-Premise
9 I-Premise
. I-Premise
3 I-Premise
[ I-Premise
F I-Premise
( I-Premise
( I-Premise
1 I-Premise
, I-Premise
84 I-Premise
) I-Premise
) I-Premise
= I-Premise
17 I-Premise
. I-Premise
8 I-Premise
, I-Premise
P I-Premise
< I-Premise
0 I-Premise
. I-Premise
05 I-Premise
] I-Premise
. I-Premise

Psychological B-Premise
quality I-Premise
of I-Premise
life I-Premise
also I-Premise
improved I-Premise
more I-Premise
in I-Premise
the I-Premise
intervention I-Premise
group I-Premise
, I-Premise
from I-Premise
49 I-Premise
. I-Premise
6 I-Premise
to I-Premise
61 I-Premise
. I-Premise
2 I-Premise
vs I-Premise
. I-Premise
50 I-Premise
. I-Premise
1 I-Premise
to I-Premise
51 I-Premise
. I-Premise
5 I-Premise
in I-Premise
the I-Premise
control I-Premise
group I-Premise
[ I-Premise
F I-Premise
( I-Premise
( I-Premise
1 I-Premise
, I-Premise
84 I-Premise
) I-Premise
) I-Premise
= I-Premise
10 I-Premise
. I-Premise
