This O
randomized O
controlled O
trial O
assessed O
the O
effect O
of O
a O
SMART O
( O
Stress O
Management O
and O
Resiliency O
Training O
) O
program O
among O
25 O
women O
diagnosed O
with O
breast O
cancer O
. O

An O
intent O
- O
to O
- O
treat O
analysis O
was O
used O
to O
determine O
the O
mean O
duration O
of O
HQL O
improvement O
and O
differences O
in O
improvement O
duration O
between O
groups O
of O
patients O
. O

Seven O
days O
of O
diary O
and O
actigraphy O
data O
did O
not O
corroborate O
with O
monthly O
reflections O
( O
PSQI O
) O
. O

According O
to O
the O
design O
criteria O
, O
palliation O
was O
equivalent O
between O
the O
two O
arms O
. O

Patients O
were O
followed O
up O
per O
- O
protocol O
"""" O
; O
"""" O
there O
were O
no O
deaths O
, O
and O
five O
patients O
had O
a O
total O
of O
six O
complications O
. O

Overall B-Premise
, I-Premise
the I-Premise
antiandrogen I-Premise
was I-Premise
well I-Premise
tolerated I-Premise
compared I-Premise
with I-Premise
castration I-Premise
"""" I-Premise
; I-Premise
"""" I-Premise
with B-Premise
bicalutamide I-Premise
, I-Premise
hot I-Premise
flushes I-Premise
occurred I-Premise
less I-Premise
often I-Premise
and I-Premise
breast I-Premise
tenderness I-Premise
and I-Premise
gynecomastia I-Premise
more I-Premise
often I-Premise
. I-Premise

For B-Premise
the I-Premise
stage I-Premise
IV I-Premise
subgroup I-Premise
, I-Premise
the I-Premise
median I-Premise
survival I-Premise
time I-Premise
for I-Premise
etoposide I-Premise
plus I-Premise
cisplatin I-Premise
was I-Premise
7 I-Premise
. I-Premise
6 I-Premise
months I-Premise
compared I-Premise
with I-Premise
8 I-Premise
. I-Premise
9 I-Premise
months I-Premise
for I-Premise
paclitaxel I-Premise
( I-Premise
P I-Premise
= I-Premise
. I-Premise
246 I-Premise
) I-Premise
. I-Premise

Time B-Premise
to I-Premise
response I-Premise
and I-Premise
ORR I-Premise
favor I-Premise
TCF I-Premise
over I-Premise
TC I-Premise
for I-Premise
further I-Premise
evaluation I-Premise
, I-Premise
particularly I-Premise
in I-Premise
the I-Premise
neoadjuvant I-Premise
setting I-Premise
. I-Premise

Overall B-Premise
rate I-Premise
of I-Premise
adverse I-Premise
events I-Premise
( I-Premise
AEs I-Premise
) I-Premise
was I-Premise
comparable I-Premise
between I-Premise
the I-Premise
ASA404 I-Premise
and I-Premise
placebo I-Premise
arms I-Premise
. I-Premise

After B-Premise
2 I-Premise
and I-Premise
3 I-Premise
years I-Premise
, I-Premise
this I-Premise
had I-Premise
decreased I-Premise
to I-Premise
49 I-Premise
% I-Premise
and I-Premise
41 I-Premise
% I-Premise
, I-Premise
respectively I-Premise
( I-Premise
P I-Premise
< I-Premise
0 I-Premise
. I-Premise
02 I-Premise
) I-Premise
. I-Premise

The B-Claim
ADA I-Claim
MNT I-Claim
protocol I-Claim
for I-Claim
radiation I-Claim
oncology I-Claim
is I-Claim
a I-Claim
useful I-Claim
guide I-Claim
to I-Claim
the I-Claim
level I-Claim
of I-Claim
nutrition I-Claim
support I-Claim
required I-Claim
. I-Claim

Future B-Claim
work I-Claim
is I-Claim
needed I-Claim
to I-Claim
improve I-Claim
the I-Claim
design I-Claim
and I-Claim
the I-Claim
planning I-Claim
of I-Claim
these I-Claim
interventions I-Claim
to I-Claim
improve I-Claim
program I-Claim
adherence I-Claim
. I-Claim

The B-Claim
new I-Claim
bone I-Claim
resorption I-Claim
markers I-Claim
of I-Claim
collagen I-Claim
breakdown I-Claim
were I-Claim
able I-Claim
to I-Claim
predict I-Claim
clinical I-Claim
response I-Claim
to I-Claim
pamidronate I-Claim
. I-Claim

Surgery B-Claim
was I-Claim
associated I-Claim
with I-Claim
a I-Claim
short I-Claim
- I-Claim
term I-Claim
negative I-Claim
impact I-Claim
in I-Claim
some I-Claim
aspects I-Claim
of I-Claim
health I-Claim
related I-Claim
quality I-Claim
of I-Claim
life I-Claim
assessments I-Claim
but B-Claim
these I-Claim
changes I-Claim
became I-Claim
insignificant I-Claim
2 I-Claim
years I-Claim
after I-Claim
treatment I-Claim
. I-Claim

Zoledronic B-Claim
acid I-Claim
at I-Claim
4 I-Claim
mg I-Claim
reduced I-Claim
skeletal I-Claim
- I-Claim
related I-Claim
events I-Claim
in I-Claim
prostate I-Claim
cancer I-Claim
patients I-Claim
with I-Claim
bone I-Claim
metastases I-Claim
. I-Claim

