Expression B-Premise
of I-Premise
somatostatin I-Premise
receptors I-Premise
is I-Premise
found I-Premise
in I-Premise
HCCs I-Premise
, I-Premise
but O
the B-Claim
efficacy I-Claim
of I-Claim
the I-Claim
somatostatin I-Claim
analogue I-Claim
octreotide I-Claim
remains I-Claim
controversial I-Claim
. I-Claim

Patient B-Claim
preference I-Claim
, I-Claim
demographic I-Claim
variables I-Claim
, I-Claim
and I-Claim
medical I-Claim
variables I-Claim
moderated I-Claim
the I-Claim
effects I-Claim
of I-Claim
exercise I-Claim
training I-Claim
in I-Claim
breast I-Claim
cancer I-Claim
patients I-Claim
who I-Claim
were I-Claim
receiving I-Claim
chemotherapy I-Claim
. I-Claim

Replacement B-Claim
of I-Claim
most I-Claim
hospital I-Claim
follow I-Claim
- I-Claim
up I-Claim
visits I-Claim
in I-Claim
the I-Claim
first I-Claim
year I-Claim
after I-Claim
breast I-Claim
cancer I-Claim
treatment I-Claim
by I-Claim
nurse I-Claim
- I-Claim
led I-Claim
telephone I-Claim
follow I-Claim
- I-Claim
up I-Claim
does I-Claim
not I-Claim
impede I-Claim
patient I-Claim
outcomes I-Claim
. I-Claim

We O
assessed O
HRQOL O
at O
baseline O
and O
at O
every O
3 O
months O
during O
treatment O
until O
progression O
using O
the O
European O
Organisation O
for O
Research O
and O
Treatment O
of O
Cancer O
( O
EORTC O
) O
quality O
of O
life O
questionnaire O
core O
- O
30 O
( O
QLQ O
- O
C30 O
) O
and O
the O
EORTC O
brain O
cancer O
module O
( O
EORTC O
BN O
- O
20 O
) O
. O

Tumor B-Premise
response I-Premise
rates I-Premise
were I-Premise
comparable I-Premise
between I-Premise
treatment I-Premise
arms I-Premise
( I-Premise
10 I-Premise
. I-Premise
2 I-Premise
% I-Premise
v I-Premise
8 I-Premise
. I-Premise
2 I-Premise
% I-Premise
) I-Premise
. I-Premise

The O
8 O
- O
week O
programme O
of O
2 O
h O
sessions O
comprised O
of O
thematic O
discussions O
, O
information O
and O
training O
in O
stress O
management O
techniques O
. O

Between O
- O
group O
differences O
were O
tested O
for O
statistical O
significance O
by O
use O
of O
repeated O
- O
measures O
analysis O
, O
and O
reported O
P O
values O
are O
two O
- O
sided O
. O

The B-Premise
- I-Premise
1 I-Premise
and I-Premise
2 I-Premise
- I-Premise
year I-Premise
survival I-Premise
rates I-Premise
were I-Premise
31 I-Premise
and I-Premise
36 I-Premise
% I-Premise
, I-Premise
and I-Premise
10 I-Premise
and I-Premise
11 I-Premise
% I-Premise
respectively I-Premise
. I-Premise

Two O
primary O
end O
points O
were O
examined O
: O
energy O
\/ O
fatigue O
and O
cancer O
- O
specific O
distress O
. O

This B-Claim
trial I-Claim
failed I-Claim
to I-Claim
show I-Claim
a I-Claim
benefit I-Claim
for I-Claim
up I-Claim
- I-Claim
front I-Claim
tandem I-Claim
HDCT I-Claim
compared I-Claim
with I-Claim
standard I-Claim
combination I-Claim
therapy I-Claim
. I-Claim

Without B-Premise
ADT I-Premise
testosterone I-Premise
remained I-Premise
at I-Premise
castrate I-Premise
level I-Premise
for I-Premise
4 I-Premise
months I-Premise
. I-Premise

The B-Claim
use I-Claim
of I-Claim
spherical I-Claim
PVA I-Claim
particles I-Claim
in I-Claim
the I-Claim
manner I-Claim
described I-Claim
herein I-Claim
results I-Claim
in I-Claim
an I-Claim
unacceptably I-Claim
high I-Claim
rate I-Claim
of I-Claim
failed I-Claim
tumor I-Claim
infarction I-Claim
in I-Claim
UAE I-Claim
. I-Claim

There B-Premise
was I-Premise
no I-Premise
difference I-Premise
in I-Premise
overall I-Premise
survival I-Premise
( I-Premise
HR I-Premise
1 I-Premise
. I-Premise
01 I-Premise
, I-Premise
95 I-Premise
% I-Premise
CI I-Premise
0 I-Premise
. I-Premise
77 I-Premise
to I-Premise
1 I-Premise
. I-Premise
32 I-Premise
) I-Premise
. I-Premise

