facial B-Claim
hirsutism I-Claim
is I-Claim
one I-Claim
of I-Claim
the I-Claim
characteristic I-Claim
features I-Claim
of I-Claim
polycystic I-Claim
ovary I-Claim
syndrome I-Claim
( I-Claim
pcos I-Claim
) I-Claim
, I-Claim
and I-Claim
this I-Claim
can I-Claim
lead I-Claim
to I-Claim
high I-Claim
levels I-Claim
of I-Claim
depression I-Claim
and I-Claim
anxiety I-Claim
. I-Claim

to O
evaluate O
the O
impact O
of O
laser O
treatment O
on O
the O
severity O
of O
facial O
hirsutism O
and O
on O
psychological O
morbidity O
in O
women O
with O
pcos O
. O

a O
randomized O
controlled O
trial O
of O
five O
high O
- O
fluence O
treatments O
( O
intervention O
) O
vs O
. O
five O
low O
- O
fluence O
treatments O
( O
control O
) O
was O
performed O
over O
6 O
months O
in O
a O
national O
health O
service O
teaching O
hospital O
. O

subjects O
were O
88 O
women O
with O
facial O
hirsutism O
due O
to O
pcos O
recruited O
from O
hospital O
outpatient O
clinics O
and O
a O
patient O
support O
group O
in O
2001 O
- O
2002 O
. O

the O
main O
outcomes O
were O
self O
- O
reported O
severity O
of O
facial O
hair O
( O
measured O
on O
a O
scale O
of O
1 O
- O
10 O
) O
, O
depression O
, O
anxiety O
( O
measured O
on O
the O
hospital O
anxiety O
and O
depression O
scale O
) O
and O
quality O
of O
life O
( O
measured O
on O
the O
whoqol O
- O
bref O
) O
. O

laser B-Claim
treatment I-Claim
appeared I-Claim
to I-Claim
reduce I-Claim
the I-Claim
severity I-Claim
of I-Claim
facial I-Claim
hair I-Claim
and I-Claim
time I-Claim
spent I-Claim
on I-Claim
hair I-Claim
removal I-Claim
as I-Claim
well I-Claim
as I-Claim
alleviating I-Claim
depression I-Claim
and I-Claim
anxiety I-Claim
in I-Claim
women I-Claim
with I-Claim
pcos I-Claim
. I-Claim

these B-Claim
findings I-Claim
suggest I-Claim
that I-Claim
ways I-Claim
of I-Claim
making I-Claim
this I-Claim
method I-Claim
of I-Claim
hair I-Claim
removal I-Claim
more I-Claim
widely I-Claim
available I-Claim
to I-Claim
women I-Claim
with I-Claim
facial I-Claim
hirsutism I-Claim
should I-Claim
be I-Claim
considered I-Claim
. I-Claim

despite B-Claim
considerable I-Claim
improvement I-Claim
in I-Claim
the I-Claim
treatment I-Claim
of I-Claim
advanced I-Claim
ovarian I-Claim
cancer I-Claim
, I-Claim
the I-Claim
optimization I-Claim
of I-Claim
efficacy I-Claim
and I-Claim
tolerability I-Claim
remains I-Claim
an I-Claim
important I-Claim
issue I-Claim
. I-Claim

therefore O
, O
we O
performed O
a O
randomized O
, O
phase O
iii O
non O
- O
inferiority O
trial O
comparing O
paclitaxel O
plus O
cisplatin O
( O
pt O
) O
with O
paclitaxel O
plus O
carboplatin O
( O
tc O
) O
in O
patients O
with O
advanced O
ovarian O
cancer O
. O

a O
total O
of O
798 O
patients O
with O
international O
federation O
of O
gynecology O
and O
obstetrics O
stage O
iib O
- O
iv O
were O
randomly O
assigned O
to O
receive O
six O
courses O
of O
either O
pt O
or O
tc O
at O
3 O
- O
week O
intervals O
. O

the O
primary O
endpoint O
was O
the O
proportion O
of O
patients O
without O
progression O
at O
2 O
years O
. O

secondary O
endpoints O
included O
toxicity O
, O
response O
to O
treatment O
, O
quality O
of O
life O
, O
and O
overall O
and O
progression O
- O
free O
survival O
time O
. O

quality O
of O
life O
was O
evaluated O
using O
the O
european O
organization O
for O
research O
and O
treatment O
of O
cancer O
quality O
- O
of O
- O
life O
questionnaire O
( O
qlq O
) O
- O
c30 O
, O
version O
2 O
. O
0 O
. O

survival O
curves O
were O
calculated O
using O
the O
kaplan O
- O
meier O
method O
, O
and O
hazard O
ratios O
were O
estimated O
using O
the O
cox O
proportional O
hazards O
model O
. O

the B-Claim
tc I-Claim
regimen I-Claim
achieved I-Claim
comparable I-Claim
efficacy I-Claim
to I-Claim
the I-Claim
pt I-Claim
regimen I-Claim
but I-Claim
was I-Claim
associated I-Claim
with I-Claim
better I-Claim
tolerability I-Claim
and I-Claim
quality I-Claim
of I-Claim
life I-Claim
, I-Claim
and I-Claim
should I-Claim
, I-Claim
therefore I-Claim
, I-Claim
be I-Claim
considered I-Claim
as I-Claim
an I-Claim
important I-Claim
alternative I-Claim
for I-Claim
standard I-Claim
first I-Claim
- I-Claim
line I-Claim
chemotherapy I-Claim
in I-Claim
patients I-Claim
with I-Claim
advanced I-Claim
ovarian I-Claim
cancer I-Claim
. I-Claim

the O
aim O
of O
this O
study O
was O
to O
compare O
the O
2 O
- O
year O
functional O
performance O
and O
quality O
of O
life O
in O
patients O
with O
operable O
squamous O
cell O
carcinoma O
of O
the O
esophagus O
, O
who O
have O
received O
either O
surgery O
or O
definitive O
chemoradiation O
( O
crt O
) O
. O

the O
functional O
outcomes O
and O
quality O
of O
life O
in O
patients O
receiving O
esophagectomy O
or O
definitive O
crt O
is O
uncertain O
. O

data O
were O
extracted O
from O
the O
database O
of O
a O
prospective O
randomized O
controlled O
trial O
that O
included O
patients O
with O
resectable O
mid O
or O
lower O
thoracic O
esophageal O
cancers O
. O

the O
patients O
were O
randomized O
to O
either O
standard O
esophagectomy O
or O
definitive O
crt O
. O

quality O
of O
life O
assessments O
were O
performed O
using O
the O
eortc O
qlq O
- O
c30 O
and O
qlq O
- O
oes24 O
modules O
. O

other O
functional O
assessments O
included O
pulmonary O
and O
eating O
functions O
. O

from O
july O
2000 O
to O
december O
2004 O
, O
a O
total O
of O
81 O
patients O
were O
enrolled O
into O
the O
study O
. O

surgery B-Claim
was I-Claim
associated I-Claim
with I-Claim
a I-Claim
short I-Claim
- I-Claim
term I-Claim
negative I-Claim
impact I-Claim
in I-Claim
some I-Claim
aspects I-Claim
of I-Claim
health I-Claim
related I-Claim
quality I-Claim
of I-Claim
life I-Claim
assessments I-Claim
but B-Claim
these I-Claim
changes I-Claim
became I-Claim
insignificant I-Claim
2 I-Claim
years I-Claim
after I-Claim
treatment I-Claim
. I-Claim

however O
, O
crt B-Claim
was I-Claim
associated I-Claim
with I-Claim
progressive I-Claim
deteriorations I-Claim
in I-Claim
pulmonary I-Claim
function I-Claim
in I-Claim
the I-Claim
longer I-Claim
term I-Claim
. I-Claim

to O
observe O
the O
effect O
of O
tcm O
therapy O
for O
removing O
toxic O
substance O
and O
unblocking O
meridians O
on O
post O
- O
radiation O
quality O
of O
life O
( O
qof O
) O
in O
55 O
patients O
with O
lung O
cancer O
. O

all O
patients O
were O
randomly O
assigned O
to O
two O
groups O
, O
the O
55 O
patients O
in O
the O
treated O
group O
were O
treated O
with O
radiotherapy O
combined O
with O
the O
tcm O
therapy O
, O
and O
the O
53 O
in O
the O
control O
group O
were O
given O
radiotherapy O
alone O
. O

the O
clinical O
efficacy O
was O
evaluated O
by O
indexes O
including O
kps O
scores O
, O
qlq O
- O
c30 O
questionnaire O
, O
lc13 O
specific O
scale O
for O
lung O
cancer O
, O
evaluation O
criteria O
for O
tcm O
efficacy O
, O
the O
6 O
- O
min O
walking O
distance O
, O
and O
body O
weight O
, O
etc O
. O

tcm B-Claim
therapy I-Claim
for I-Claim
removing I-Claim
toxic I-Claim
substance I-Claim
and I-Claim
unblocking I-Claim
meridians I-Claim
can I-Claim
improve I-Claim
the I-Claim
post I-Claim
- I-Claim
radiation I-Claim
qol I-Claim
of I-Claim
patients I-Claim
with I-Claim
