facial B-Claim
hirsutism I-Claim
is I-Claim
one I-Claim
of I-Claim
the I-Claim
characteristic I-Claim
features I-Claim
of I-Claim
polycystic I-Claim
ovary I-Claim
syndrome I-Claim
( I-Claim
pcos I-Claim
) I-Claim
, I-Claim
and I-Claim
this I-Claim
can I-Claim
lead I-Claim
to I-Claim
high I-Claim
levels I-Claim
of I-Claim
depression I-Claim
and I-Claim
anxiety I-Claim
. I-Claim

laser B-Claim
treatment I-Claim
appeared I-Claim
to I-Claim
reduce I-Claim
the I-Claim
severity I-Claim
of I-Claim
facial I-Claim
hair I-Claim
and I-Claim
time I-Claim
spent I-Claim
on I-Claim
hair I-Claim
removal I-Claim
as I-Claim
well I-Claim
as I-Claim
alleviating I-Claim
depression I-Claim
and I-Claim
anxiety I-Claim
in I-Claim
women I-Claim
with I-Claim
pcos I-Claim
. I-Claim

these B-Claim
findings I-Claim
suggest I-Claim
that I-Claim
ways I-Claim
of I-Claim
making I-Claim
this I-Claim
method I-Claim
of I-Claim
hair I-Claim
removal I-Claim
more I-Claim
widely I-Claim
available I-Claim
to I-Claim
women I-Claim
with I-Claim
facial I-Claim
hirsutism I-Claim
should I-Claim
be I-Claim
considered I-Claim
. I-Claim

despite B-Claim
considerable I-Claim
improvement I-Claim
in I-Claim
the I-Claim
treatment I-Claim
of I-Claim
advanced I-Claim
ovarian I-Claim
cancer I-Claim
, I-Claim
the I-Claim
optimization I-Claim
of I-Claim
efficacy I-Claim
and I-Claim
tolerability I-Claim
remains I-Claim
an I-Claim
important I-Claim
issue I-Claim
. I-Claim

the B-Claim
tc I-Claim
regimen I-Claim
achieved I-Claim
comparable I-Claim
efficacy I-Claim
to I-Claim
the I-Claim
pt I-Claim
regimen I-Claim
but I-Claim
was I-Claim
associated I-Claim
with I-Claim
better I-Claim
tolerability I-Claim
and I-Claim
quality I-Claim
of I-Claim
life I-Claim
, I-Claim
and I-Claim
should I-Claim
, I-Claim
therefore I-Claim
, I-Claim
be I-Claim
considered I-Claim
as I-Claim
an I-Claim
important I-Claim
alternative I-Claim
for I-Claim
standard I-Claim
first I-Claim
- I-Claim
line I-Claim
chemotherapy I-Claim
in I-Claim
patients I-Claim
with I-Claim
advanced I-Claim
ovarian I-Claim
cancer I-Claim
. I-Claim

data O
were O
extracted O
from O
the O
database O
of O
a O
prospective O
randomized O
controlled O
trial O
that O
included O
patients O
with O
resectable O
mid O
or O
lower O
thoracic O
esophageal O
cancers O
. O

the O
patients O
were O
randomized O
to O
either O
standard O
esophagectomy O
or O
definitive O
crt O
. O

quality O
of O
life O
assessments O
were O
performed O
using O
the O
eortc O
qlq O
- O
c30 O
and O
qlq O
- O
oes24 O
modules O
. O

other O
functional O
assessments O
included O
pulmonary O
and O
eating O
functions O
. O

from O
july O
2000 O
to O
december O
2004 O
, O
a O
total O
of O
81 O
patients O
were O
enrolled O
into O
the O
study O
. O

surgery B-Claim
was I-Claim
associated I-Claim
with I-Claim
a I-Claim
short I-Claim
- I-Claim
term I-Claim
negative I-Claim
impact I-Claim
in I-Claim
some I-Claim
aspects I-Claim
of I-Claim
health I-Claim
related I-Claim
quality I-Claim
of I-Claim
life I-Claim
assessments I-Claim
but B-Claim
these I-Claim
changes I-Claim
became I-Claim
insignificant I-Claim
2 I-Claim
years I-Claim
after I-Claim
treatment I-Claim
. I-Claim

however O
, O
crt B-Claim
was I-Claim
associated I-Claim
with I-Claim
progressive I-Claim
deteriorations I-Claim
in I-Claim
pulmonary I-Claim
function I-Claim
in I-Claim
the I-Claim
longer I-Claim
term I-Claim
. I-Claim

to O
observe O
the O
effect O
of O
tcm O
therapy O
for O
removing O
toxic O
substance O
and O
unblocking O
meridians O
on O
post O
- O
radiation O
quality O
of O
life O
( O
qof O
) O
in O
55 O
patients O
with O
lung O
cancer O
. O

all O
patients O
were O
randomly O
assigned O
to O
two O
groups O
, O
the O
55 O
patients O
in O
the O
treated O
group O
were O
treated O
with O
radiotherapy O
combined O
with O
the O
tcm O
therapy O
, O
and O
the O
53 O
in O
the O
control O
group O
were O
given O
radiotherapy O
alone O
. O

the O
clinical O
efficacy O
was O
evaluated O
by O
indexes O
including O
kps O
scores O
, O
qlq O
- O
c30 O
questionnaire O
, O
lc13 O
specific O
scale O
for O
lung O
cancer O
, O
evaluation O
criteria O
for O
tcm O
efficacy O
, O
the O
6 O
- O
min O
walking O
distance O
, O
and O
body O
weight O
, O
etc O
. O

tcm B-Claim
therapy I-Claim
for I-Claim
removing I-Claim
toxic I-Claim
substance I-Claim
and I-Claim
unblocking I-Claim
meridians I-Claim
can I-Claim
improve I-Claim
the I-Claim
post I-Claim
- I-Claim
radiation I-Claim
qol I-Claim
of I-Claim
patients I-Claim
with I-Claim
lung I-Claim
cancer I-Claim
to I-Claim
some I-Claim
extent I-Claim
. I-Claim

the O
averel O
trial O
[ O
a O
study O
of O
avastin O
( O
bevacizumab O
) O
in O
combination O
with O
herceptin O
( O
trastuzumab O
) O
/ O
docetaxel O
in O
patients O
with O
her2 O
- O
positive O
metastatic O
breast O
cancer O
] O
evaluated O
first O
- O
line O
bevacizumab O
- O
containing O
therapy O
for O
human O
epidermal O
growth O
factor O
receptor O
2 O
( O
her2 O
) O
- O
positive O
locally O
recurrent O
/ O
metastatic O
breast O
cancer O
( O
lr O
/ O
mbc O
) O
. O

patients O
with O
measurable O
/ O
evaluable O
her2 O
- O
positive O
lr O
/ O
mbc O
who O
had O
not O
received O
trastuzumab O
or O
chemotherapy O
for O
lr O
/ O
mbc O
were O
stratified O
by O
prior O
adjuvant O
trastuzumab O
, O
prior O
( O
neo O
) O
adjuvant O
taxane O
, O
hormone O
receptor O
status O
, O
and O
measurable O
disease O
and O
were O
randomly O
assigned O
to O
receive O
docetaxel O
100 O
mg O
/ O
m O
( O
2 O
) O
plus O
trastuzumab O
8 O
mg O
/ O
kg O
loading O
dose O
followed O
by O
6 O
mg O
/ O
kg O
either O
with O
bevacizumab O
15 O
mg O
/ O
kg O
or O
without O
bevacizumab O
, O
all O
administered O
every O
3 O
weeks O
. O

the O
primary O
end O
point O
was O
progression O
- O
free O
survival O
( O
pfs O
) O
. O

additional O
end O
points O
included O
overall O
survival O
, O
response O
rate O
( O
rr O
) O
, O
safety O
, O
quality O
of O
life O
, O
and O
translational O
research O
. O

results O
baseline O
characteristics O
of O
the O
424 O
patients O
were O
balanced O
between O
treatment O
arms O
. O

most O
patients O
had O
visceral O
metastases O
, O
43 O
% O
had O
a O
disease O
- O
free O
interval O
less O
than O
12 O
months O
, O
and O
85 O
% O
had O
measurable O
disease O
. O

median O
follow O
- O
up O
was O
26 O
months O
. O

grade B-Claim
≥ I-Claim
3 I-Claim
febrile I-Claim
neutropenia I-Claim
and I-Claim
hypertension I-Claim
were I-Claim
more I-Claim
common I-Claim
with I-Claim
bevacizumab I-Claim
- I-Claim
containing I-Claim
therapy I-Claim
. I-Claim

combining B-Claim
bevacizumab I-Claim
with I-Claim
docetaxel I-Claim
and I-Claim
trastuzumab I-Claim
did I-Claim
not I-Claim
significantly I-Claim
improve I-Claim
investigator I-Claim
- I-Claim
assessed I-Claim
pfs I-Claim
. I-Claim

the O
potential O
predictive O
value O
of O
plasma O
vegf O
- O
a O
is O
consistent O
with O
findings O
in O
her2 O
- O
negative O
lr O
/ O
mbc O
, O
warranting O
prospective O
evaluation O
