No O
one O
benefits O
from O
wars O
. O
"""" O

Israel I-LOC
' O
s O
Channel I-ORG
Two I-ORG
television O
said O
Damascus I-LOC
had O
sent O
a O
"""" O
calming O
signal O
"""" O
to O
Israel I-LOC
. O

It O
gave O
no O
source O
for O
the O
report O
. O

The O
television O
also O
said O
that O
Netanyahu I-PER
had O
sent O
messages O
to O
reassure O
Syria I-LOC
via O
Cairo I-LOC
, O
the O
United I-LOC
States I-LOC
and O
Moscow I-LOC
. O

- O
DOCSTART O
- O

Polish I-MISC
diplomat O
denies O
nurses O
stranded O
in O
Libya I-LOC
. O

A O
Polish I-MISC
diplomat O
on O
Thursday O
denied O
a O
Polish I-MISC
tabloid O
report O
this O
week O
that O
Libya I-LOC
was O
refusing O
exit O
visas O
to O
100 O
Polish I-MISC
nurses O
trying O
to O
return O
home O
after O
working O
in O
the O
North I-MISC
African I-MISC
country O
. O

"""" O
This O
is O
not O
true O
. O

Up O
to O
today O
, O
we O
have O
no O
knowledge O
of O
any O
nurse O
stranded O
or O
kept O
in O
Libya I-LOC
without O
her O
will O
, O
and O
we O
have O
not O
received O
any O
complaint O
, O
"""" O
the O
Polish I-MISC
embassy O
' O
s O
charge O
d O
' O
affaires O
in O
Tripoli I-LOC
, O
Tadeusz I-PER
Awdankiewicz I-PER
, O
told O
Reuters I-ORG
by O
telephone O
. O

Poland I-LOC
' O
s O
labour O
ministry O
said O
this O
week O
it O
would O
send O
a O
team O
to O
Libya I-LOC
to O
investigate O
, O
but O
Awdankiewicz I-PER
said O
the O
probe O
was O
prompted O
by O
some O
nurses O
complaining O
about O
their O
work O
conditions O
such O
as O
non O
- O
payment O
of O
their O
salaries O
. O

He O
said O
that O
there O
are O
an O
estimated O
800 O
Polish I-MISC
nurses O
working O
in O
Libya I-LOC
. O

- O
DOCSTART O
- O

Two O
Iranian I-MISC
opposition O
leaders O
meet O
in O
Baghdad I-LOC
. O

An O
Iranian I-MISC
exile O
group O
based O
in O
Iraq I-LOC
vowed O
on O
Thursday O
to O
extend O
support O
to O
Iran I-LOC
' O
s O
Kurdish I-MISC
rebels O
after O
they O
were O
attacked O
by O
Iranian I-MISC
troops O
deep O
inside O
Iraq I-LOC
last O
month O
. O

A O
Mujahideen I-ORG
Khalq I-ORG
statement O
said O
its O
leader O
Massoud I-PER
Rajavi I-PER
met O
in O
Baghdad I-LOC
the O
Secretary O
- O
General O
of O
the O
Kurdistan I-ORG
Democratic I-ORG
Party I-ORG
of I-ORG
Iran I-ORG
( O
KDPI I-ORG
) O
Hassan I-PER
Rastegar I-PER
on O
Wednesday O
and O
voiced O
his O
support O
to O
Iran I-LOC
' O
s O
rebel O
Kurds I-MISC
. O

"""" O
Rajavi I-MISC
emphasised O
that O
the O
Iranian I-MISC
Resistance I-ORG
would O
continue O
to O
stand O
side O
by O
side O
with O
their O
Kurdish I-MISC
compatriots O
and O
the O
resistance O
movement O
in O
Iranian I-LOC
Kurdistan I-LOC
, O
"""" O
it O
said O
. O

A O
spokesman O
for O
the O
group O
said O
the O
meeting O
"""" O
signals O
a O
new O
level O
of O
cooperation O
between O
Mujahideen I-ORG
Khalq I-ORG
and O
the O
Iranian I-MISC
Kurdish I-MISC
oppositions O
"""" O
. O

Iran I-LOC
heavily O
bombarded O
targets O
in O
northern O
Iraq I-LOC
in O
July O
in O
pursuit O
of O
KDPI I-ORG
guerrillas O
based O
in O
Iraqi I-MISC
Kurdish I-MISC
areas O
outside O
the O
control O
of O
the O
government O
in O
Baghdad I-LOC
. O

Iraqi I-MISC
Kurdish I-MISC
areas O
bordering O
Iran I-LOC
are O
under O
the O
control O
of O
guerrillas O
of O
the O
Iraqi I-ORG
Kurdish I-ORG
Patriotic I-ORG
Union I-ORG
of I-ORG
Kurdistan I-ORG
( O
PUK I-ORG
) O
group O
. O

PUK I-ORG
and O
Iraq I-LOC
' O
s O
Kurdistan I-ORG
Democratic I-ORG
Party I-ORG
( O
KDP I-ORG
) O
the O
two O
main O
Iraqi I-MISC
Kurdish I-MISC
factions O
, O
have O
had O
northern O
Iraq I-LOC
under O
their O
control O
since O
Iraqi I-MISC
forces O
were O
ousted O
from O
Kuwait I-LOC
in O
the O
1991 O
Gulf I-MISC
War I-MISC
. O

Clashes O
between O
the O
two O
parties O
broke O
out O
at O
the O
weekend O
in O
the O
most O
serious O
fighting O
since O
a O
U I-MISC
. I-MISC
S I-MISC
. I-MISC
- I-MISC
sponsored I-MISC
ceasefire O
last O
year O
. O

Mujahideen I-ORG
Khalq I-ORG
said O
Iranian I-MISC
troops O
had O
also O
been O
shelling O
KDP I-ORG
positions O
in O
Qasri I-LOC
region O
in O
Suleimaniya I-LOC
province O
near O
the O
Iranian I-MISC
border O
over O
the O
last O
two O
days O
. O

It O
said O
about O
100 O
Iraqi I-MISC
Kurds I-MISC
were O
killed O
or O
wounded O
in O
the O
attack O
. O

Both O
Iran I-LOC
and O
Turkey I-LOC
mount O
air O
and O
land O
strikes O
at O
targets O
in O
northern O
Iraq I-LOC
in O
pursuit O
of O
their O
own O
