__label__noRel	The ADA MNT protocol for radiation oncology is a useful guide to the level of nutrition support required.	The nutrition intervention group had a higher mean total energy (P=0.029) and protein intake (P<0.001) compared with the standard practice group.
__label__noRel	In view of the benefits regarding arm functioning and quality of life, the data from this randomised study support the use of SNB in patients with clinically node negative breast cancer.	18 months post-surgery approximately twice as many patients in the standard group compared with the SNB group reported substantial arm swelling (14% versus 7%) (p = 0.002) or numbness (19% versus 8.7%) (p < 0.001).
__label__noRel	GEM-CAP significantly improved objective response rate (19.1% v 12.4%; P = .034) and progression-free survival (hazard ratio [HR], 0.78; 95% CI, 0.66 to 0.93; P = .004) and was associated with a trend toward improved OS (HR, 0.86; 95% CI, 0.72 to 1.02; P = .08) compared with GEM alone.	the meta-analysis of two additional studies involving 935 patients showed a significant survival benefit in favor of GEM-CAP (HR, 0.86; 95% CI, 0.75 to 0.98; P = .02) with no intertrial heterogeneity.
__label__noRel	The incidence of Grade 4 toxicity was 56% in patients receiving mitomycin-C and 29% in those who did not.	histologic confirmation of N2 disease in the surgical and nonsurgical arms eliminated the usual biases from clinical staging.
__label__noRel	Treatment with docetaxel-carboplatin was associated with statistically significantly more grade 3-4 neutropenia (94% versus 84%, difference = 11%, 95% CI = 7% to 14%; P<.001) and neutropenic complications than treatment with paclitaxel-carboplatin,	After a median follow-up of 23 months, both groups had similar progression-free survival (medians of 15.0 months for docetaxel-carboplatin and 14.8 months for paclitaxel-carboplatin; hazard ratio [HR] docetaxel-paclitaxel = 0.97, 95% confidence interval [CI] = 0.83 to 1.13; P = .707), overall survival rates at 2 years (64.2% and 68.9%, respectively; HR = 1.13, 95% CI = 0.92 to 1.39; P = .238), and objective tumor (58.7% and 59.5%, respectively; difference between docetaxel and paclitaxel = -0.8%, 95% CI = -8.6% to 7.1%; P = .868) and CA-125 (75.8% and 76.8%, respectively; difference docetaxel-paclitaxel = -1.0%, 95% CI = -7.2% to 5.1%; P = .794) response rates.
__label__noRel	the administration of the chemotherapy in 3 days has no detrimental effect on the effectiveness of the BEP regimen.	no differences were detected between 3 and 5 days of treatment.
__label__noRel	A decrease in transfusion requirement did not reach significance over all 3 months, but there was a significant reduction in the percentage of patients transfused in the second and third months (27% r-HuEPO vs. 56% placebo) and a trend toward reduction in the mean total number of units transfused (1.20 units r-HuEPO vs. 2.02 units placebo), suggesting a lag of 1 month before r-HuEPO can affect the transfusion requirement.	There were no significant adverse effects associated with r-HuEPO.
__label__noRel	Somatostatin has been shown to have antimitotic activity in endocrine as well as in a variety of nonendocrine tumors.	The CLIP score seems to predict survival better than both Okuda and CTP score.
__label__noRel	although febrile neutropenia and infections were more frequent for patients taking AT (respectively, 33% v 10%, P <.001; 8% v 2%, P =.01).	The overall response rate (ORR) was significantly greater for patients taking AT (59%, with 10% complete response [CR], 49% partial response [PR]) than for those taking AC (47%, with 7% CR, 39% PR) (P =.009).
__label__noRel	but substantive differences in many symptom scores favored docetaxel.	However, docetaxel-carboplatin was associated with substantially less overall and grade 2 or higher neurotoxicity than paclitaxel-carboplatin (grade > or =2 neurosensory toxicity in 11% versus 30%, difference = 19%, 95% CI = 15% to 24%; P<.001; grade > or =2 neuromotor toxicity in 3% versus 7%, difference = 4%, 95% CI = 1% to 7%; P<.001).
__label__Support	Patients receiving fludarabine had higher scores for social function (P =.008);	In recurrent low-grade lymphoma, fludarabine improves PFS, TFS, and social function scores in comparison with CVP but does not improve OS.
