__label__noRel	Additional studies should be done in this area to determine the optimum training program.	No changes were found in arm circumference or arm volume as a result of the exercise program.
__label__noRel	By the end of follow-up, patients receiving radiotherapy were expressing less anxiety about recurrence than those who had not received radiotherapy.	but this did not appear to be an important issue to the patients.
__label__noRel	No differences in pain and symptom intensity were observed.	Opioid escalation index was significantly lower in patients receiving methadone (p<0.0001), although requiring up and down changes in doses.
__label__noRel	ALT was found to be a safe method, with high adherence, in treating women who suffer from mild to moderate lymphedema.	but no long-term effect was noted.
__label__noRel	Mean(s.d.) pain scores on the day of discharge were 1·9(3·1) in the epidural group and 0·7(0·7) in the WIC group.	Mean use of additional analgesia (intravenous morphine equivalents) was 12 mg in the WIC arm and 9 mg in the epidural arm.
__label__Support	early postoperative outcome does not give a complete answer	Further research is needed into a number of areas including the long-term aspects of quality of life, clinical outcomes, costs and consequences of omitting radiotherapy.
__label__noRel	The major World Health Organization grade 3-4 toxicities for NP and NIP, respectively, were: neutropenia (20.3% compared with 9% of cycles), anaemia (4.1% compared with 5% of cycles), nausea and vomiting (22.2% compared with 19.4% of patients) and alopecia (5.6% compared with 29.8% of patients).	The different schedules of vinorelbine in the two arms led to a greater survival in the NP arm without impairing the tolerance profile,
__label__Support	No relevant differences in adverse effects were observed among the groups during either the titration phase and chronic treatment.	All the three opioids used as first-line therapy were effective, well tolerated, and required similar amounts of symptomatic drugs or co-analgesics.
__label__noRel	In limited disease the estimated percentages of survival at 2 years were 33% in the early and 24% in the late alternating chemotherapy arms.	The overall remission rate was 87% with 31% complete remissions.
__label__noRel	After a median follow-up time of 62 (range 18-108) weeks, the median time to progression was 38, 25, and 27 weeks for arm A, B, and C, respectively.	Severe toxicities of TOM + LFA-5-FU were neutropenia (16%) and diarrhoea (16%), but median relative DI8 was 93% for TOM, and 82% for 5-FU.
__label__noRel	Complete resection was performed in 73% of 26 patients undergoing thoracotomy.	No acute Grade 4 radiation toxicity developed.
__label__noRel	In patients with recurrent or metastatic SCCHN, while responses with gefitinib were seen, neither gefitinib 250 nor 500 mg/day improved overall survival compared with methotrexate.	except for tumor hemorrhage-type events with gefitinib (8.9%, gefitinib 250 mg/day; 11.4%, gefitinib 500 mg/day; 1.9%, methotrexate).
__label__noRel	Compared with the control group, the death number decreased, the survival rate increased, the life span of dead children was prolonged in the treatment group, showing statistical difference (P<0.05).	Compared with the control group of the same period, the 6-month and 1-year WBC and Hb increased, the 1-year PLT increased in the treatment group, showing statistical difference (P<0.05, P<0.01).
__label__Attack	but the treatment arms did not differ with respect to other general measures of HRQL.	Symptom distress was significantly worse for the RP+RT arm compared with the RP alone arm
__label__noRel	four cases of postoperative infectious complications were noted in the control group, but no postoperative infectious complications were observed in the interventional group (P = 0.037).	a significant lower serum C-reactive protein level was detected in glutamine-enriched TPN compared with standard TPN (P = 0.013).
__label__noRel	Erlotinib not only improves survival in previously treated patients with NSCLC, but also improves tumor-related symptoms and important aspects of QOL.	Compliance with QOL was 87% at baseline and more than 70% during treatment.
__label__Support	This negative impact tended to last longer in the HDC group, as for most of the QLQ-C30 scales, the QOL scores of HDC patients tend to improve at a slower rate than that of patients receiving standard chemotherapy.	Toxicity of HDC has a strong negative impact on patients' QOL during the treatment phase.
__label__Support	Two-year survival rate was 18% with DCF and 9% with CF.	Adding docetaxel to CF significantly improved TTP, survival, and response rate in gastric cancer patients, but resulted in some increase in toxicity.
__label__noRel	The rate of grade 2 or above nausea was numerically higher in the GP arm,	Other symptoms including sore mouth and hair loss were significantly higher in the GE arm (p = 0.003 and 0.007, respectively).
__label__noRel	Unless additional follow-up data demonstrate a survival advantage at higher doses, the 160-mg/d dose is optimal, achieving maximal treatment effect with the fewest side effects and better quality of life.	but responded similarly to those in the 160-mg/d group in terms of physical functioning, psychologic distress, and overall quality of life.
__label__noRel	Amitriptyline is the most common analgesic adjuvant used in cancer patients with neuropathic pain,	No differences in patients' preference for the two treatment periods were found.
__label__noRel	No treatment-related death was observed.	The median survival reached 8 months in Study A and 9 months in Study B.
__label__noRel	The overall response rate was 16% in the PLD arm compared with 29% in the GEM arm (P = .056).	although the P value was of borderline statistical significance (P = .048).
__label__noRel	Before radiotherapy, 84% of patients reported erections adequate for intercourse at least a few times during the previous year.	After 2 and 3 years, this had decreased to 49% and 41%, respectively (P <0.02).
__label__noRel	Mean change in EXIT25 scores from baseline to cycle 4 in the epoetin alfa group was 1.3 +/- 3.3;	Mean hemoglobin levels were higher in the epoetin alfa group compared with the placebo group after 4 cycles of chemotherapy.
__label__noRel	Leucovorin increases PFS if added to FU24h, but increases toxicity.	Progression-free survival (PFS) was significantly longer for FU24h + LV (median FU + LV, 4.0 months [95% CI, 3.4 to 4.9]; FU24h, 4.1 months [95% CI, 3.4 to 5.0]; FU24h + LV 5.6 months [95% CI, 4.4 to 6.7]; P =.029).
__label__noRel	There is a paucity of high-level evidence on potentially useful interventions and a continued need for new and innovative research, incorporating quality-of-life measurements, in patients experiencing radiation-induced mucositis.	In conclusion, we were unable to identify a reduction in radiation-induced mucositis in patients receiving misoprostol.
__label__noRel	the increase of symptoms seems acceptable and has little extra effect on quality of life after 4 years compared with endocrine treatment alone.	Although addition of radiotherapy to endocrine treatment significantly increased some treatment-related symptoms, none were serious.
__label__noRel	Genotypes of glutathione-related enzymes, especially GCLC, may be used as host factors in predicting patients' survival after platinum-based chemotherapy.	Further investigation to define and measure the effects of these genes in chemotherapeutic regimens, drug toxicities, disease progression, and QOL are critical.
__label__noRel	Between-group differences in the primary outcomes were not significant at 12 months,	No significant main effect of the interventions emerged on cancer-specific distress,
__label__noRel	but the apparent inferior efficacy may discourage further investigation	Median time to disease progression (33.8 and 40.7 weeks, respectively) and overall survival (41.4 and 57.3 weeks, respectively) were of borderline significance in favor of the GP arm (p = 0.055).
__label__noRel	In pamidronate LD patients, event-rates decreased by 15% to 45% (P < or = .04).	The event-free period (EFP), radiologic course of disease, and survival did not improve.
__label__noRel	Le(y) is an attractive target since it is expressed by most NSCLC.	Chemotherapy prolongs survival and improves quality of life (QOL) for good performance status (PS) patients with advanced non-small cell lung cancer (NSCLC).
__label__noRel	Total costs per patient were higher for GJJ compared to stent placement (euro12433 vs. euro8819, P = 0.049).	Initial costs were higher for GJJ compared to stent placement (euro8315 vs. euro4820, P < 0.001).
__label__noRel	Epoetin alfa significantly improved HgB and reduced transfusions in this patient population.	Placebo-treated patients had a mean increase in HgB of 0.9 g/dL (range, -3.8 to +5.3) compared with 2.8 g/dL (range, -2.2 to +7.5) for epoetin-treated patients (P < .0001).
__label__noRel	hazard ratio was 0.50; P = .0002	Response rates were 26.0% (FU/LV/bevacizumab) and 15.2% (FU/LV/placebo) (P = .055);
__label__noRel	CAF produced significantly higher grades of leukopenia, granulocytopenia, and thrombocytopenia, as well as liver and cardiac toxicity,	At a median follow-up of 3.9 years, the estimated 4-year recurrence-free survival rate was 67.5% with the 16-week regimen versus 62.7% with CAF (P = .19, two-sided; P = .095, one-sided).
