__label__noRel	There were no grade 3-4 late radiation toxicities.	Corresponding median failure-free survival times were 3.1 and 1.7 months (P = 0.20).
__label__noRel	The ablation rate was equivalent between the (131)I doses and between the thyrotropin-stimulation methods.	In the 684 patients with data that could be evaluated, ultrasonography of the neck was normal in 652 (95%), and the stimulated thyroglobulin level was 1.0 ng per milliliter or less in 621 of the 652 patients (95%) without detectable thyroglobulin antibodies.
__label__noRel	Moist desquamation was correlated with increased pain and reduction in the quality of life.	Dermatitis is a frequent adverse effect of adjuvant breast radiotherapy.
__label__noRel	There is no consensus on an accepted intervention that significantly reduces its severity.	Patients allocated to misoprostol did report slightly increased soreness (7.6 vs 6.9; P = 0.04) and a greater use of analgesics.
__label__noRel	Eighteen patients receiving IFN5 and 4 patients receiving IFN1 had dose reductions (P = .002).	There was a significant deterioration in QOL and an increase in depression associated with IFN5 but no change was noted with IFN1.
__label__noRel	AT significantly improves TTP and ORR compared with AC in patients with MBC,	Overall survival (OS) was comparable in both arms.
__label__noRel	Short-term administration of exogenous ghrelin at the start of cisplatin-based chemotherapy stimulated food intake and minimized adverse events.	Food intake and appetite VAS scores were significantly higher in the ghrelin group than in the placebo group (18.2 ± 5.2 kcal/kg/day vs 12.7 ± 3.4 kcal/kg/day [P = .001] and 6.2 ± 0.9 vs 4.1 ± 0.9 [P < .0001], respectively).
__label__Support	The main nonhematologic adverse effect was fatigue (grade 3/4 in 18% of patients).	Carboplatin/vinorelbine is well tolerated by elderly patients with extensive-stage NSCLC.
__label__noRel	There was no significant difference between groups in all outcome variables (P > 0.05) through the whole study period.	More efficient treatment protocol is needed for clinical practice.
__label__noRel	Among all treatment groups, patients who had a mastectomy had the poorest physical functioning at registration (P<.001) and at enrollment (P=.05).	Sexual functioning was worse for women who received chemotherapy than for those who did not, regardless of type of surgery (P<.001).
__label__noRel	There was no difference between groups in mean change in EXIT25 score from baseline to 6-month follow-up assessment.	These data suggest that epoetin alfa may have attenuated the cognitive impairment and fatigue that occurred during adjuvant breast cancer chemotherapy.
__label__noRel	but these were not associated with increased hospital admissions, infections or fatalities.	Median progression-free survival was 5.9 months with GC and 6.3 months with PE.
__label__noRel	Axillary clearance in early breast cancer aims to improve locoregional control and provide staging information	but the differences tended to disappear in 6 to 12 months.
__label__noRel	However, it may be associated with more inconvenience in wound care and longer healing time than rhomboid excision and Lindberg flap.	Time to final healing was significantly shorter and quality of life scores on the CWIS were higher in patients receiving RELP than in those receiving UM.
__label__noRel	In minimally symptomatic patients with locally advanced non-small cell lung cancer, no persuasive evidence was found to indicate that giving immediate palliative thoracic radiotherapy improves symptom control, quality of life, or survival when compared with delaying until symptoms require treatment.	The primary outcome measure was achieved in 28% of the immediate treatment group and 26% of patients from the delayed treatment group (27/97 and 27/103, respectively; absolute difference 1.6%, 95% confidence interval -10.7% to 13.9%).
__label__noRel	No difference in the 1-year survival rate (70% vs. 66%) or median survival time (19.4 vs. 17.4 months) between the surgery and RT arms.	No acute Grade 4 radiation toxicity developed.
__label__noRel	This translated into a lower proportion of patients experiencing moist desquamation during or up to 6 weeks after their radiation treatment; 31.2% with IMRT compared with 47.8% with standard treatment (P = .002).	Breast IMRT significantly improved the dose distribution compared with standard radiation.
__label__noRel	except for tumor hemorrhage-type events with gefitinib (8.9%, gefitinib 250 mg/day; 11.4%, gefitinib 500 mg/day; 1.9%, methotrexate).	Neither gefitinib 250 nor 500 mg/day improved overall survival compared with methotrexate (hazard ratio [HR], 1.22; 95% CI, 0.95 to 1.57; P = .12; and HR, 1.12; 95% CI, 0.87 to 1.43; P = .39, respectively).
__label__noRel	We found a consistent pattern of better QOL outcomes at each follow-up assessment during the first 6 months of treatment for orchiectomized patients with metastatic prostate cancer who received placebo versus flutamide.	Cross-sectional analyses (corrected for multiple testing) identified statistically significant differences that favored orchiectomy plus placebo for two of the five primary QOL parameters as follows: patients receiving flutamide reported more diarrhea at 3 months (P = .001) and worse emotional functioning at 3 and 6 months (both P<.003).
__label__noRel	More patients survived >/= 3 years in the D3P and D1P arms (18.6% and 16.6%, respectively) compared with the MP arm (13.5%).	The survival benefit of D3P compared with MP has persisted with extended follow-up (P = .004).
__label__noRel	Complete resection was performed in 73% of 26 patients undergoing thoracotomy.	No acute Grade 4 radiation toxicity developed.
__label__noRel	This difference was not statistically significant (log-rank test, p=0.818).	Median OS was 9.45 and 10 months respectively for weekly VNR/CDDP arm and the day 1-8 VNR/CDDP one without statistically a significant difference (log-rank test, p=0.259).
__label__noRel	Tamoxifen has been shown to be more effective and safe than RT in this setting.	Treatments were well tolerated in the 3 groups.
__label__noRel	but did not affect the time to the resolution of dysuria.	while the maximum IPSS after implantation and isotope type (but only at 6 months) were the best predictors of the resolution of dysuria.
__label__Support	Additional analyses yielded quadratic interactions for exercise activity comparing UCO and SMEX (p = 0.022), with positive changes in SMEX but not UCO, and for stress management activity comparing UCO and SM (p < 0.001) and UCO and SMEX (p = 0.013), with positive changes in SM and SMEX but not UCO.	Only the combined intervention yielded effects on quality of life outcomes, and these were limited to anxiety and depression.
__label__noRel	Median survival was 16.6 months for the FU/LV/bevacizumab group and 12.9 months for the FU/LV/placebo group (hazard ratio, 0.79; P = .16).	Median progression-free survival was 9.2 months (FU/LV/bevacizumab) and 5.5 months (FU/LV/placebo);
