__label__Support	The overall remission rate was 87% with 31% complete remissions.	Alternating chemotherapy with PAV-CyMOC plus consolidating radiotherapy is a feasible and effective treatment for small-cell lung cancer, with acceptable toxicity.
__label__Support	The median survival of all 406 eligible patients was 346 days with 15% of the patients alive at two years.	Alternating chemotherapy with PAV-CyMOC plus consolidating radiotherapy is a feasible and effective treatment for small-cell lung cancer, with acceptable toxicity.
__label__Support	The overall remission rate, the rate of complete remission, the median survival and the rate of long-term survival were not significantly different in the two treatment arms.	Alternating chemotherapy with PAV-CyMOC plus consolidating radiotherapy is a feasible and effective treatment for small-cell lung cancer, with acceptable toxicity.
__label__Support	In limited disease the estimated percentages of survival at 2 years were 33% in the early and 24% in the late alternating chemotherapy arms.	late alternating chemotherapy allows for a higher RDI of cisplatin, adriamycin and etoposide, which results in a significantly longer median survival of patients with extensive disease.
__label__Support	Patients with extensive disease survived significantly longer with late alternating chemotherapy than on the early alternation regimen (median survival 336 days versus 301 days, p = 0.01).	late alternating chemotherapy allows for a higher RDI of cisplatin, adriamycin and etoposide, which results in a significantly longer median survival of patients with extensive disease.
__label__Support	In the latter patients the received dose intensities (RDI) of cisplatin, adriamycin and etoposide were significantly higher in the late-alternation arm.	late alternating chemotherapy allows for a higher RDI of cisplatin, adriamycin and etoposide, which results in a significantly longer median survival of patients with extensive disease.
__label__Support	Patients treated with early alternating chemotherapy rated their tumor symptoms, functional states, fatigue/malaise and restriction of social activity significantly better, reflecting an improved subjective adjustment.	patients with early alternating chemotherapy achieve a better subjective adjustment,
__label__Support	At 4 months, J-pouch patients had 10.3% less stool fragmentation but poorer stool deferment and more nocturnal leakage.	A colonic J-pouch may reduce excessive stool frequency and incontinence after anterior resection, but at the risk of evacuation problems.
__label__Support	there were no differences in the bowel function, continence score, and quality of life at 1 year.	Coloplasty pouches resulted in more anastomotic leaks and minimal differences in bowel function.
__label__Support	CP resulted in more anastomotic leaks.	Coloplasty pouches resulted in more anastomotic leaks and minimal differences in bowel function.
__label__Support	There was no difference in overall survival (HR 1.01, 95% CI 0.77 to 1.32).	GC is as effective as PE in terms of overall survival and progression-free survival and has a toxicity profile more acceptable to patients.
__label__Support	Median survival with GC and PE was 8.0 and 8.1 months, respectively.	GC is as effective as PE in terms of overall survival and progression-free survival and has a toxicity profile more acceptable to patients.
__label__Support	Median progression-free survival was 5.9 months with GC and 6.3 months with PE.	GC is as effective as PE in terms of overall survival and progression-free survival and has a toxicity profile more acceptable to patients.
__label__Attack	Grade 3 or 4 myelosuppressions were more frequent with GC (anaemia: 14% GC vs 2% PE; leucopenia: 32% GC vs 13% PE; thrombocytopenia: 22% GC vs 4% PE),	GC is as effective as PE in terms of overall survival and progression-free survival and has a toxicity profile more acceptable to patients.
__label__Attack	but these were not associated with increased hospital admissions, infections or fatalities.	Grade 3 or 4 myelosuppressions were more frequent with GC (anaemia: 14% GC vs 2% PE; leucopenia: 32% GC vs 13% PE; thrombocytopenia: 22% GC vs 4% PE),
__label__Support	Grade 2-3 alopecia (68% PE vs 17% GC) and nausea (43% PE vs 26% GC) were more frequent with PE.	GC is as effective as PE in terms of overall survival and progression-free survival and has a toxicity profile more acceptable to patients.
__label__Support	In QoL questionnaires, more patients receiving PE reported being upset by hair loss (p = 0.004) and impaired cognitive functioning (p = 0.04).	GC is as effective as PE in terms of overall survival and progression-free survival and has a toxicity profile more acceptable to patients.
__label__Support	With a median follow-up of 17 months, median PFS was 8.6 months for gemcitabine-carboplatin (95% confidence interval [CI] 7.9-9.7 months) and 5.8 months for carboplatin (95% CI 5.2-7.1 months; hazard ratio [HR] 0.72 [95% CI 0.58-0.90; P = 0.0032]).	Gemcitabine-carboplatin treatment significantly improves the PFS of patients with platinum-sensitive recurrent ovarian cancer.
__label__Support	When the two exercise groups were compared, there were significant differences in 6MWT in pilates-exercise group (P<0.05).	Pilates exercises are effective and safe in female breast cancer patients.
__label__Support	After the exercise program, improvements were observed in Group 1 in 6-minute walk test, BDI, EORTC QLQ-C30 functional, and EORTC QLQ-C30 BR23 functional scores (P<0.05).	Pilates exercises are effective and safe in female breast cancer patients.
__label__Support	no significant improvement was observed in Group 2 after the exercise program in any of parameters in comparison to the pre-exercise period (P>0.05).	Pilates exercises are effective and safe in female breast cancer patients.
__label__Attack	There is a need for further studies so that its effect can be confirmed.	Pilates exercises are effective and safe in female breast cancer patients.
__label__Support	At 12 months post-randomisation, there was no significant difference between treatment and control groups in terms of arm volume.	The study fails to demonstrate efficacy of dl-alpha tocopheryl acetate plus pentoxifylline in patients with arm lymphoedema following axillary surgery and lymphatic radiotherapy, nor does it suggest any benefits of these drugs in radiation-induced induration (fibrosis) in the breast, chest wall, pectoral fold, axilla or supraclavicular fossa.
__label__Support	Absolute change in arm volume at 12 months was 2.5% (95% CI -0.40 to 5.3) in the treatment group compared to 1.2% (95% CI -2.8 to 5.1) in the placebo group.	The study fails to demonstrate efficacy of dl-alpha tocopheryl acetate plus pentoxifylline in patients with arm lymphoedema following axillary surgery and lymphatic radiotherapy, nor does it suggest any benefits of these drugs in radiation-induced induration (fibrosis) in the breast, chest wall, pectoral fold, axilla or supraclavicular fossa.
__label__Support	The difference in mean volume change between randomisation groups at 12 months was not statistically significant (P = 0.6), -1.3% (95% CI -6.1 to 3.5), nor was there a significant difference in response at 6 months (P = 0.7), where mean change in arm volume from baseline in the treatment and placebo groups was -2.3% (95% CI -7.9 to 3.4) and -1.1% (95% CI -3.9 to 1.7), respectively.	The study fails to demonstrate efficacy of dl-alpha tocopheryl acetate plus pentoxifylline in patients with arm lymphoedema following axillary surgery and lymphatic radiotherapy, nor does it suggest any benefits of these drugs in radiation-induced induration (fibrosis) in the breast, chest wall, pectoral fold, axilla or supraclavicular fossa.
