__label__noRel	Patients with poor preoperative QOL appear to be at higher risk for difficult postoperative courses, and may be candidates for enhanced ancillary services to address their particular needs.	Eighteen months after surgery, any differences in quality of life between patients randomized to LAC or open colectomy favored LAC.
__label__Support	The KPS score in the treated group after treatment was improved in 13 patients (23.6%), stabilized in 27 (49.6%) and declined in 15 (27.3%), while in the control group, it was improved in 7 (13.2%), stabilized in 21 (39.6%) and declined in 25 (47.2%), the difference between the two groups was significant (P < 0.05).	TCM therapy for removing toxic substance and unblocking meridians can improve the post-radiation QOL of patients with lung cancer to some extent.
__label__noRel	Coloplasty pouches resulted in more anastomotic leaks and minimal differences in bowel function.	Experimental surgery on pigs has suggested that a coloplasty pouch (CP) may be a useful alternative
__label__noRel	The experimental-to-PC hazard ratios of death were 1.15 (95% CI, 0.79 to 1.67) for VC, 1.32 (95% CI, 0.91 to 1.92) for GC, and 1.26 (95% CI, 0.86 to 1.82) for TC.	The arms were comparable with respect to toxicity except for leucopenia, neutropenia, infection, and alopecia.
__label__noRel	patients in the rhDNase group showed a greater decline in both scores during the 3 months posttreatment.	there was a significant improvement in secondary endpoints of clinically assessed OPS and DNA concentration compared with placebo in H&N cancer patients treated with CRT.
__label__noRel	The safer and simpler RY method may be a more suitable reconstruction method than INT after total gastrectomy.	Postoperative BMI significantly deteriorated compared with preoperative BMI in each group.
__label__Support	Both drugs could improve the QoL,	The effects of Pemetrexed and Gefitinib as second line therapy were similar,
__label__noRel	The median survival in the patients receiving induction chemotherapy only was 8.9 months.	The median progression-free survival was 14 months.
__label__noRel	Maintenance treatment with erlotinib appears to be a useful option for the management of Asian patients with advanced NSCLC without progression after first-line chemotherapy.	There was a trend towards an increase in OS, which reached statistical significance in the EGFR IHC-positive subgroup (p=0.0233).
__label__noRel	There was no difference in response rates, with 64% (complete response [CR], 9%) for fludarabine versus 52% (CR, 7%) for CVP (P =.72).	With a median follow-up of 42 months, median PFS (11 months v 9.1 months; P =.03) and TFS (15 months v 11 months; P =.02) were superior in patients receiving fludarabine.
__label__noRel	In the gefitinib 250 mg/day, 500 mg/day, and methotrexate groups, respectively, median overall survival was 5.6, 6.0, and 6.7 months; ORRs (Response Evaluation Criteria in Solid Tumors) were 2.7%, 7.6% and 3.9%, with no statistically significant difference between either gefitinib arm and methotrexate.	QOL improvement rates (Functional Assessment of Cancer Therapy-Head &amp; Neck total score) were 13.4%, 18.0%, and 6.0% for gefitinib 250 mg/day, 500 mg/day, and methotrexate, respectively.
__label__noRel	Similarly, no difference in survival was found when the patients who received both the planned first-and second-line treatments were compared or when survival was calculated from the beginning of the second-line therapy.	No significant difference in time to progression or survival was found between the two arms.
__label__noRel	but thalidomide was associated with less insomnia and diarrhea and more constipation and peripheral neuropathy.	thalidomide in combination with chemotherapy did not improve survival of patients with SCLC but was associated with an increased risk of thrombotic events.
__label__noRel	thalidomide in combination with chemotherapy did not improve survival of patients with SCLC but was associated with an increased risk of thrombotic events.	but thalidomide was associated with less insomnia and diarrhea and more constipation and peripheral neuropathy.
__label__noRel	The rate of grade 2 or above nausea was numerically higher in the GP arm,	There were also significant differences observed in emotional (p = 0.014), cognitive (p = 0.028) and social functioning (p = 0.034) in favor of GP.
__label__Support	From 3 to 9 months, changes of QoL scales and subscales were no longer statistically different in both groups of patients.	rhTSH preserves QoL of patients undergoing RRA with similar rates of ablation success compared to hypothyrodism.
__label__noRel	At 6 months and 2 years, using post-hoc as-observed analyses, the percentage of patients (95% confidence interval) achieving DAS28 (C-reactive protein) low disease activity score (< or = 3.2) and DAS28 (C-reactive protein)-defined remission (< 2.6) increased from 18.3% (13.0, 23.5) to 32.0% (24.6, 39.4) and 11.1% (6.8, 15.3) to 20.3% (13.9, 26.6).	No unique safety observations were reported during open-label exposure.
__label__noRel	however, stomatitis (11% in FU + LV v 3% in FU24h v 5% in FU24h + LV arms) and hematologic toxicity were higher in the bolus FU + LV arm.	Leucovorin increases PFS if added to FU24h, but increases toxicity.
__label__noRel	local control and survival were essentially equal between the surgical and RT arms.	Induction chemotherapy was completed in 78% of the patients.
__label__noRel	Patients with bone-cancer pain, already on opioids, obtain clinically important, additional pain-control, with regular oxycodone/paracetamol dosing.	In the oxycodone/paracetamol group, 67% rated GI as good, very good, or excellent.
__label__Support	The rhDNase group showed no change in OPS-DNA concentration,	there was a significant improvement in secondary endpoints of clinically assessed OPS and DNA concentration compared with placebo in H&N cancer patients treated with CRT.
__label__noRel	Vinorelbine-treated patients scored better than control patients on QoL functioning scales, and they reported fewer lung cancer-related symptoms but reported worse toxicity-related symptoms.	median survival increased from 21 to 28 weeks in the vinorelbine-treated group.
__label__noRel	That is, by specifically lowering intervention patients' distress at 4 months, their health was improved at 12 months (p<.05).	However, it is not clear whether psychological improvements are, in turn, related to improved health.
__label__noRel	Mean(s.d.) pain scores on the day of discharge were 1·9(3·1) in the epidural group and 0·7(0·7) in the WIC group.	A blinded RCT investigating the role of epidural and WIC administration for postoperative analgesia following LCR is feasible.
__label__noRel	Four cycles of standard PE remains an appropriate first-line treatment for extensive-stage SCLC patients with good performance status.	Progression-free survival (PFS) from date of randomization on step 2 was significantly better with topotecan compared with observation (3.6 months v 2.3 months; P <.001).
__label__noRel	However, it is not clear whether psychological improvements are, in turn, related to improved health.	Psychological interventions are efficacious in reducing emotional distress for cancer patients.
__label__noRel	Median survival was significantly shorter in the SN group (5.6 months compared with 9 months, unadjusted hazard ratio = 1.6);	There is no rationale for the routine use of neuronavigation to improve the extent of tumor resection and prognosis in patients harboring a solitary enhancing intracerebral lesion when neuronavigation is not already deemed advantageous because of the size or location of the lesion.
__label__noRel	Severe nonhematologic toxicity was infrequent in both groups, including grade 3/4 cardiac events (AT, 3%; AC, 4%).	The ORR was also higher with AT in patients with visceral involvement (58% v 41%; liver, 62% v 42%; lung, 58% v 35%), three or more organs involved (59% v 40%), or prior adjuvant CT (53% v 41%).
__label__noRel	Compared with their controls, in pamidronate HD/LD patients, events occurred 60% to 90% less frequently (P < or = .03) and the EFP was prolonged (P = .002).	In the pamidronate group, the occurrence of hypercalcemia, severe bone pain, and symptomatic impending fractures decreased by 65%, 30%, and 50%, respectively; event-rates of systemic treatment and radiotherapy decreased by 35% (P < or = .02).
__label__Attack	It should probably not be tested further,	The 16-week regimen should not be used instead of a standard-dose regimen without careful consideration of the 16-week regimen's pros and cons, which include its complicated schedule.
__label__noRel	AT represents a valid option for the treatment of MBC.	Overall survival (OS) was comparable in both arms.
__label__noRel	Laparoscopic resection reduced length of hospital stay, improved first-year quality of life, and slightly increased hospital costs.	The mean length of hospital stay was 10 (4.9) days in the laparoscopic group and 13.6 (10) days in the open group (P = 0.004).
__label__noRel	WHO grade 3 or 4 neutropenia and diarrhoea affected 46% and 16%, respectively, of patients treated with CPT-11 + LFA 5-FU.	With 94 patients still alive, the one-year probability of survival was 61%, 54%, and 59%, respectively.
__label__noRel	That is, by specifically lowering intervention patients' distress at 4 months, their health was improved at 12 months (p<.05).	Although the intervention simultaneously improved patients' T-cell blastogenesis in response to phytohemagglutinin (PHA),
__label__noRel	Kaplan-Meier survival curves demonstrated better survival for the experimental group than the control group.	The unadjusted significance level for group differences was P = .0006 for survival to 10 years.
__label__noRel	Patients in the IG had significantly improved scores on the FACIT-Fatigue Scale at study completion, improved fatigue and pain scores, as well as overall physical functioning and mental health composite scores.	At study completion, participants in the IG were walking twice as far and were significantly more likely to have continued walking or another form of exercise as compared with the UCG.
__label__noRel	quality of life was similar as well.	Nine CR and twenty-seven PR were obtained on one hundred eleven evaluable patients treated in experimental arm (RR = 32%, 95% confidence interval (95% CI): 24%-42%), while two CR and eleven PR were observed among one hundred three evaluable patients in control arm (RR = 13%, 95% CI: 7%-21%).
__label__noRel	In phase II trials, paclitaxel has been shown to have antitumor activity in patients with advanced non-small-cell lung cancer (NSCLC).	QOL was similar for both treatment arms,
__label__noRel	Chemotherapy is moderately efficient as a treatment for pancreatic adenocarcinoma,	The response rate was low in both arms, but superior in the FUP arm: 12% versus 0% (intention-to-treat analysis, P <0.01).
__label__Support	At 20 wk, 4 wk after planned interruption of duloxetine, we observed a U-turn, 23 patients were completely dry in group A versus 38 in group B (p=0.008).	The decrease in IEF and improvements in I-QoL scores were significantly greater in group A for the first 16 wk.
